Espécie;Sutura interocular completa;Duto individual com aspecto de sianinha;Papila FI;Espermatecas;FI - LE;4º palpo nitidamente menor que o 2º;Prolongamento posterior do ascoide;Dentes no cibário;Sensila de Newsted no 2º palpo;Duto comum curto;Papila em AXII e  AXIII;5º palpo > 3º;Clípeo / compr olhos;Fileiras de dentes da lacínia;Duto estriado;Duto individual / corpo;Dutos individuas imbricados;Junção dos dutos individuais formando Y;Comprimento do duto comum;Duto comum com pontuações ao longo da parte hialina;Junção dos dutos individuais formando ângulo menor que 180º;Cabeça das espermatecas;Dentes do cibário;Corpo da espermateca formado
Brumptomyia nitzulescui;Sim;Sim;;;;Não;Sim;;;;;;;;;;;;;;;;;
Br. brumpti;Sim;Não;Duas;Afuniladas;;Não;Sim;;;;;;;;;;;;;;;;;
Br. cunhai;Sim;Não;;Cilíndricas;;Não;Sim;;;;;;;;;;;;;;;;;
Br. orlandoi;Sim;Não;;;;Não;Sim;;;;;;;;;;;;;;;;;
Br. pentacantha;Sim;Não;Uma;Afuniladas;270 - 230 um;Não;Sim;;;;;;;;;;;;;;;;;
Br. pintoi;Sim;Não;;;;Não;Sim;;;;;;;;;;;;;;;;;
Br. avellari;Sim;Não;Uma;Afuniladas;300 - 250 um;Não;Sim;;;;;;;;;;;;;;;;;
Br. galindoi;Sim;Não;Uma;Afuniladas;270 - 230 um;Não;Sim;;;;;;;;;;;;;;;;;
Psathyromyia (Forat) aragaoi;Não;Não;;Vesiculosa (Globosa);;Sim;Sim;12;Sim;Sim;;;;;;;;;;;;;;
Pa. (Forat) barrettoi barrettoi;Não;Não;;Vesiculosa (Ovóide);;Sim;Sim;10;Sim;Sim;;;;;;;;;;;;;;
Pa. (Forat) brasiliensis;Não;Não;;Anelada;;Sim;Sim;4;Sim;Sim;;;;;;;;;;;;;;
Pa. (Forat) inflata;Não;Não;;Vesiculosa (Tubular);;Sim;Sim;12;Sim;Sim;;;;;;;;;;;;;;
Pa. (Forat) lutziana;Não;Não;;Vesiculosa (Globosa);;Sim;Sim;4;Sim;Sim;;;;;;;;;;;;;;
Pa. (Forat) runoides;Não;Não;;Vesiculosa (Tubular);;Sim;Sim;10;Sim;Sim;;;;;;;;;;;;;;
Pa. (Forat) campograndensis;Não;Não;;Vesiculosa (Globosa);;Sim;Sim;4;Sim;Não;;;;;;;;;;;;;;
Pa. (Xipho) dreisbachi;Não;Não;;Anelada;;Sim;Sim;12;Não;;Sim;Não;;;;;;;;;;;;
Pa. (Xipho) hermanlenti;Não;Não;;Anelada;;Sim;Sim;12;Não;;Sim;Não;;;;;;;;;;;;
Pa. (Xipho) ruparupa;Não;Não;;Anelada;;Sim;Sim;12;Não;;Sim;Não;;;;;;;;;;;;
